Timestamp: 2021-11-03 19:12:17.761657 | ProcessId: validator_4 | Action: Initial configuration | Object: {'nvalidators': 7, 'nfaulty': 2, 'nclients': 6, 'nclientops': 9, 'sleeptime': 1, 'clienttimeout': 10, 'delta': 4, 'window_size': 5, 'exclude_size': 3, 'failure_config': FailureConfig(failures=[Failure(src='_', dest='leader', msg_type=<MsgType.Vote: 4>, round=2, prob=1, fail_type=<FailType.MsgLoss: 1>, val=None, attr=None), Failure(src='_', dest='_', msg_type=<MsgType.Timeout: 3>, round=2, prob=0.25, fail_type=<FailType.MsgLoss: 1>, val=None, attr=None)], seed=637713655)} |
Timestamp: 2021-11-03 19:12:18.056434 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_0', 'command': '4-0'}
Timestamp: 2021-11-03 19:12:18.065703 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_0', 'command': '2-0'}
Timestamp: 2021-11-03 19:12:18.066279 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_0', 'command': '5-0'}
Timestamp: 2021-11-03 19:12:18.066812 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_1', 'command': '2-1'}
Timestamp: 2021-11-03 19:12:18.067355 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_0 | Msg: {'req_id': '0_0', 'command': '0-0'}
Timestamp: 2021-11-03 19:12:18.067917 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_1', 'command': '4-1'}
Timestamp: 2021-11-03 19:12:18.068452 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_2 | Msg: {'req_id': '2_2', 'command': '2-2'}
Timestamp: 2021-11-03 19:12:18.068967 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_5 | Msg: {'req_id': '5_1', 'command': '5-1'}
Timestamp: 2021-11-03 19:12:18.081907 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_2', 'command': '4-2'}
Timestamp: 2021-11-03 19:12:18.087582 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_4 | Msg: {'req_id': '4_3', 'command': '4-3'}
Timestamp: 2021-11-03 19:12:18.095079 | ProcessId: validator_4 | Event: Received | MsgType: Request | From: client_1 | Msg: {'req_id': '1_0', 'command': '1-0'}
Timestamp: 2021-11-03 19:12:18.095558 | ProcessId: validator_4 | Event: Received | MsgType: Proposal | From: validator_0 | Msg: {'block': {'author': 0, 'round': 1, 'payload': [{'req_id': '4_0', 'command': '4-0', 'client': [7195121133593815656384532, 1, {}, '', '', '127.0.0.1', [46534, 54109]]}], 'qc': None, 'id': [54, 50, 98, 51, 55, 101, 56, 100, 49, 57, 52, 97, 100, 48, 51, 102, 101, 99, 53, 53, 48, 50, 51, 55, 50, 54, 48, 54, 98, 56, 50, 53, 55, 48, 49, 99, 54, 51, 98, 49, 97, 101, 97, 51, 55, 55, 51, 52, 55, 101, 52, 53, 56, 57, 98, 99, 50, 102, 99, 102, 53, 98, 57, 50], 'author_signature': {}}, 'last_round_tc': None, 'high_commit_qc': None, 'sender': 0, 'signature': {}}
Timestamp: 2021-11-03 19:12:18.096030 | ProcessId: validator_4 | Action: Verified ProposalMsg signature | Object: True |
